month,cpi
1973-06,153.9934163582328
1973-07,154.34181775270844
1973-08,157.12902890851356
1973-09,157.4774303029892
1973-10,158.87103588089175
1973-11,159.91624006431866
1973-12,160.9614442477456
1974-01,162.35504982564817
1974-02,164.445458192502
1974-03,166.5358665593558
1974-04,167.2326693483071
1974-05,169.32307771516096
1974-06,170.7166832930635
1974-07,172.11028887096606
1974-08,174.2006972378199
1974-09,176.29110560467373
1974-10,178.03311257705195
1974-11,179.4267181549545
1974-12,180.82032373285705
1975-01,181.51712652180834
1975-02,182.91073209971088
1975-03,183.60753488866217
1975-04,184.30433767761346
1975-05,185.3495418610404
1975-06,186.74314743894294
1975-07,188.83355580579678
1975-08,189.1819572002724
1975-09,190.22716138369933
1975-10,191.27236556712626
1975-11,192.6659711450288
1975-12,193.3627739339801
1976-01,193.71117532845574
1976-02,194.407978117407
1976-03,194.75637951188264
1976-04,195.45318230083393
1976-05,196.84678787873648
1976-06,197.8919920621634
1976-07,198.93719624559034
1976-08,199.98240042901725
1976-09,200.67920321796854
1976-10,201.72440740139544
1976-11,202.07280879587108
1976-12,202.76961158482237
1977-01,203.81481576824928
1977-02,205.90522413510314
1977-03,207.2988297130057
1977-04,209.04083668538388
1977-05,210.08604086881078
1977-06,211.47964644671336
1977-07,212.5248506301403
1977-08,213.22165341909158
1977-09,213.91845620804284
1977-10,214.61525899699413
1977-11,215.66046318042103
1977-12,216.35726596937232
1978-01,217.75087154727487
1978-02,219.14447712517742
1978-03,220.88648409755564
1978-04,222.62849106993383
1978-05,224.71889943678767
1978-06,227.15770919811717
1978-07,228.89971617049537
1978-08,229.94492035392227
1978-09,231.68692732630046
1978-10,233.7773356931543
1978-11,234.82253987658126
1978-12,235.86774406000816
1979-01,237.95815242686197
1979-02,240.7453635826671
1979-03,243.18417334399658
1979-04,245.97138449980167
1979-05,249.10699705008247
1979-06,251.89420820588757
1979-07,254.6814193616927
1979-08,257.12022912302217
1979-09,259.90744027882727
1979-10,261.99784864568113
1979-11,264.4366584070106
1979-12,267.22386956281576
1980-01,271.05628490204776
1980-02,274.8887002412798
1980-03,279.06951697498744
1980-04,282.20512952526826
1980-05,284.99234068107336
1980-06,288.1279532313541
1980-07,288.1279532313541
1980-08,290.21836159820793
1980-09,292.6571713595374
1980-10,295.44438251534257
1980-11,297.88319227667205
1980-12,300.67040343247714
1981-01,303.1092131938066
1981-02,306.2448257440874
1981-03,308.3352341109412
1981-04,310.42564247779507
1981-05,312.86445223912455
1981-06,315.65166339492964
1981-07,319.135677339686
1981-08,321.5744871010155
1981-09,324.71009965129633
1981-10,325.4069024402476
1981-11,326.4521066236745
1981-12,327.4973108071014
1982-01,328.54251499052833
1982-02,329.58771917395524
1982-03,329.2393177794796
1982-04,330.6329233573822
1982-05,333.7685359076629
1982-06,337.9493526413706
1982-07,339.69135961374883
1982-08,340.3881624027001
1982-09,341.0849651916514
1982-10,342.1301693750783
1982-11,341.433366586127
1982-12,340.03976100822445
1983-01,340.73656379717573
1983-02,341.0849651916514
1983-03,341.0849651916514
1983-04,343.52377495298083
1983-05,345.6141833198347
1983-06,346.6593875032616
1983-07,348.0529930811642
1983-08,349.0981972645911
1983-09,350.84020423696927
1983-10,351.8854084203962
1983-11,352.58221120934746
1983-12,352.93061260382314
1984-01,355.021020970677
1984-02,356.7630279430552
1984-03,357.4598307320064
1984-04,359.2018377043846
1984-05,360.2470418878116
1984-06,361.2922460712385
1984-07,362.685851649141
1984-08,364.0794572270436
1984-09,365.82146419942177
1984-10,366.86666838284873
1984-11,366.86666838284873
1984-12,366.86666838284873
1985-01,367.5634711718
1985-02,369.3054781441782
1985-03,370.6990837220808
1985-04,372.441090694459
1985-05,373.8346962723615
1985-06,374.8799004557884
1985-07,375.5767032447397
1985-08,376.273506033691
1985-09,377.3187102171179
1985-10,378.71231579502046
1985-11,379.75751997844736
1985-12,380.80272416187427
1986-01,381.8479283453012
1986-02,380.80272416187427
1986-03,379.0607171894961
1986-04,378.3639144005448
1986-05,379.40911858397175
1986-06,381.4995269508256
1986-07,381.4995269508256
1986-08,382.1963297397769
1986-09,383.9383367121551
1986-10,384.2867381066307
1986-11,384.6351395011064
1986-12,384.983540895582
1987-01,387.4223506569115
1987-02,388.815956234814
1987-03,390.5579632071922
1987-04,392.64837157404605
1987-05,394.0419771519486
1987-06,395.43558272985115
1987-07,396.4807869132781
1987-08,398.571195280132
1987-09,400.6616036469858
1987-10,401.7068078304127
1987-11,402.05520922488836
1987-12,402.05520922488836
1988-01,403.10041340831526
1988-02,404.14561759174217
1988-03,405.88762456412036
1988-04,407.97803293097417
1988-05,409.37163850887674
1988-06,411.113645481255
1988-07,412.8556524536332
1988-08,414.5976594260114
1988-09,417.3848705818165
1988-10,418.77847615971905
1988-11,419.12687755419466
1988-12,419.82368034314595
1989-01,421.91408870999976
1989-02,423.656095682378
1989-03,426.0949054437075
1989-04,428.8821165995126
1989-05,431.32092636084207
1989-06,432.36613054426897
1989-07,433.41133472769593
1989-08,434.10813751664716
1989-09,435.50174309454974
1989-10,437.59215146140355
1989-11,438.6373556448305
1989-12,439.3341584337818
1990-01,443.86337656196514
1990-02,445.95378492881895
1990-03,448.39259469014837
1990-04,449.0893974790997
1990-05,450.13460166252656
1990-06,452.5734114238561
1990-07,454.31541839623435
1990-08,458.49623512994197
1990-09,462.32865046917397
1990-10,465.1158616249791
1990-11,466.1610658084061
1990-12,466.1610658084061
1991-01,468.9482769642112
1991-02,469.6450797531625
1991-03,470.34188254211375
1991-04,471.038685331065
1991-05,472.43229090896756
1991-06,473.82589648687014
1991-07,474.52269927582137
1991-08,475.91630485372394
1991-09,478.00671322057775
1991-10,478.7035160095291
1991-11,480.0971215874317
1991-12,480.4455229819073
1992-01,481.1423257708585
1992-02,482.88433274323677
1992-03,485.3231425045663
1992-04,486.01994529351754
1992-05,486.71674808246877
1992-06,488.45875505484696
1992-07,489.5039592382739
1992-08,490.8975648161765
1992-09,492.2911703940791
1992-10,494.03317736645727
1992-11,494.7299801554085
1992-12,494.3815787609329
1993-01,496.82038852226236
1993-02,498.56239549464055
1993-03,500.30440246701875
1993-04,501.6980080449213
1993-05,502.39481083387255
1993-06,503.0916136228239
1993-07,503.0916136228239
1993-08,504.4852192007265
1993-09,505.5304233841533
1993-10,507.62083175100713
1993-11,507.96923314548286
1993-12,507.96923314548286
1994-01,509.3628387233854
1994-02,511.1048456957636
1994-03,512.8468526681418
1994-04,513.5436554570931
1994-05,513.8920568515687
1994-06,515.6340638239469
1994-07,517.0276694018495
1994-08,519.1180777687033
1994-09,520.5116833466059
1994-10,520.8600847410816
1994-11,521.5568875300328
1994-12,521.5568875300328
1995-01,523.6472958968867
1995-02,525.7377042637405
1995-03,527.4797112361186
1995-04,529.2217182084969
1995-05,530.2669223919237
1995-06,531.3121265753507
1995-07,531.3121265753507
1995-08,532.7057321532533
1995-09,533.7509363366802
1995-10,535.4929433090583
1995-11,535.1445419145828
1995-12,534.7961405201071
1996-01,537.9317530703879
1996-02,539.673760042766
1996-03,542.4609711985711
1996-04,544.551379565425
1996-05,545.5965837488519
1996-06,545.9449851433276
1996-07,546.9901893267545
1996-08,548.0353935101814
1996-09,549.7774004825596
1996-10,551.5194074549379
1996-11,552.5646116383647
1996-12,552.5646116383647
1997-01,554.3066186107429
1997-02,556.0486255831211
1997-03,557.4422311610236
1997-04,558.1390339499749
1997-05,557.7906325554993
1997-06,558.4874353444507
1997-07,559.1842381334019
1997-08,560.2294423168288
1997-09,561.6230478947314
1997-10,563.016653472634
1997-11,562.6682520781583
1997-12,561.971449289207
1998-01,563.016653472634
1998-02,564.0618576560609
1998-03,565.1070618394878
1998-04,566.1522660229147
1998-05,567.1974702063417
1998-06,567.8942729952929
1998-07,568.5910757842441
1998-08,569.2878785731955
1998-09,569.9846813621467
1998-10,571.3782869400493
1998-11,571.3782869400493
1998-12,571.0298855455736
1999-01,572.4234911234762
1999-02,573.1202939124274
1999-03,574.8623008848057
1999-04,579.0431176185133
1999-05,579.0431176185133
1999-06,579.0431176185133
1999-07,580.7851245908915
1999-08,582.1787301687941
1999-09,584.9659413245993
1999-10,586.0111455080261
1999-11,586.3595469025018
1999-12,586.3595469025018
2000-01,588.10155387488
2000-02,591.5855678196365
2000-03,596.4631873422953
2000-04,596.811588736771
2000-05,597.5083915257222
2000-06,600.6440040760031
2000-07,602.0376096539056
2000-08,602.0376096539056
2000-09,605.1732222041863
2000-10,606.2184263876132
2000-11,606.5668277820889
2000-12,606.2184263876132
2001-01,610.0508417268453
2001-02,612.4896514881748
2001-03,613.8832570660772
2001-04,616.3220668274068
2001-05,619.1092779832119
2001-06,620.1544821666389
2001-07,618.4124751942607
2001-08,618.4124751942607
2001-09,621.1996863500658
2001-10,619.1092779832119
2001-11,618.064073799785
2001-12,615.6252640384555
2002-01,617.0188696163581
2002-02,619.4576793776876
2002-03,622.941693322444
2002-04,626.4257072672004
2002-05,626.4257072672004
2002-06,626.774108661676
2002-07,627.4709114506272
2002-08,629.561319817481
2002-09,630.606524000908
2002-10,631.651728184335
2002-11,631.651728184335
2002-12,630.2581226064324
2003-01,633.0453337622375
2003-02,637.9229532848965
2003-03,641.7553686241284
2003-04,640.361763046226
2003-05,639.3165588627991
2003-06,640.0133616517503
2003-07,640.7101644407016
2003-08,643.148974202031
2003-09,645.2393825688848
2003-10,644.5425797799336
2003-11,642.8005728075555
2003-12,642.1037700186042
2004-01,645.2393825688848
2004-02,648.7233965136413
2004-03,652.904213247349
2004-04,654.9946216142029
2004-05,658.8270369534348
2004-06,660.9174453202887
2004-07,659.8722411368618
2004-08,660.2206425313374
2004-09,661.61424810924
2004-10,665.0982620539965
2004-11,665.446663448472
2004-12,663.0078536871425
2005-01,664.4014592650451
2005-02,668.2338746042772
2005-03,673.4598955214118
2005-04,677.9891136495951
2005-05,677.2923108606439
2005-06,677.6407122551194
2005-07,680.7763248054002
2005-08,684.2603387501566
2005-09,692.621972217572
2005-10,694.0155777954744
2005-11,688.4411554838642
2005-12,685.6539443280592
2006-01,690.8799652451937
2006-02,692.2735708230963
2006-03,696.1059861623283
2006-04,702.0288098684142
2006-05,705.5128238131706
2006-06,706.9064293910732
2006-07,708.996837757927
2006-08,710.3904433358296
2006-09,706.9064293910732
2006-10,703.0740140518411
2006-11,702.0288098684142
2006-12,703.0740140518411
2007-01,705.220166641811
2007-02,708.9933537439822
2007-03,715.4492315836159
2007-04,720.096906185921
2007-05,724.4972157981482
2007-06,725.901273417885
2007-07,725.716620678813
2007-08,724.385727351916
2007-09,726.3820673422615
2007-10,727.9359375616228
2007-11,732.2595988670654
2007-12,731.7683529008548
2008-01,735.4056634591806
2008-02,737.5413640073162
2008-03,743.9345295959441
2008-04,748.4463276544037
2008-05,754.748908880468
2008-06,762.3545113218712
2008-07,766.3576433443964
2008-08,763.2986791009002
2008-09,762.243022875639
2008-10,754.5433520577274
2008-11,740.0916622148779
2008-12,732.4372835782481
2009-01,735.6251563377001
2009-02,739.2833709796944
2009-03,741.0811221751886
2009-04,742.9311335798543
2009-05,745.0772861698242
2009-06,751.4774197863418
2009-07,750.285887017235
2009-08,751.9686657525524
2009-09,752.4390076350945
2009-10,753.1636825356038
2009-11,753.6967366691516
2009-12,752.3693273561994
2010-01,754.9405296474297
2010-02,755.1286664004465
2010-03,758.2294388112797
2010-04,759.5463960823976
2010-05,760.1351944390614
2010-06,759.3930994688283
2010-07,759.553364110287
2010-08,760.6020523076588
2010-09,761.0445220786428
2010-10,761.9921738716166
2010-11,762.3127031545341
2010-12,763.6226923977625
2011-01,767.2600029560883
2011-02,771.0436421000937
2011-03,778.562144192878
2011-04,783.5756402593825
2011-05,787.2617270129347
2011-06,786.4185956383037
2011-07,787.115398427255
2011-08,789.2859391148381
2011-09,790.4844399118344
2011-10,788.8539213856884
2011-11,788.1884747222399
2011-12,786.2443949410658
2012-01,789.7040207882089
2012-02,793.1810667050759
2012-03,799.2049268155596
2012-04,801.6193484792759
2012-05,800.6786647141917
2012-06,799.5045520148087
2012-07,798.2015307994699
2012-08,802.6436485790342
2012-09,806.2252149142438
2012-10,805.9116536592157
2012-11,802.0931743757627
2012-12,799.9330857300138
2013-01,802.2987311985033
2013-02,808.8695814983139
2013-03,810.984377962781
2013-04,810.14124658815
2013-05,811.5836283612791
2013-06,813.5311921563979
2013-07,813.8517214393156
2013-08,814.8307293577922
2013-09,815.7783811507659
2013-10,813.6775207420777
2013-11,812.0156460904288
2013-12,811.9459658115338
2014-01,814.9666059016375
2014-02,817.9802779638519
2014-03,823.2481070483236
2014-04,825.9621539112889
2014-05,828.8469174575471
2014-06,830.3903356350742
2014-07,830.0663223382119
2014-08,828.6796847881988
2014-09,829.3033232843102
2014-10,827.2198829453458
2014-11,822.7533770681682
2014-12,818.0882823961393
2015-01,814.2384469871835
2015-02,817.7747211411113
2015-03,822.6418886219359
2015-04,824.314215315419
2015-05,828.5159361327952
2015-06,831.4181197487774
2015-07,831.4738639718934
2015-08,830.2962672585658
